,Participant,X0,Y0,Xt,Yt,MT,strategy,block,Xf,A
218,15,-0.05223046479431935,,,,1.410000000000002,5,3,149.5445278540003,150.0
219,15,0.0918909634853646,,,,1.2999999999999972,5,3,149.66655726723272,150.0
220,15,-0.2122432575383933,,,,1.7399999999999984,5,3,149.6154794595335,150.0
221,15,0.06523574456688097,,,,1.5899999999999999,5,3,149.71264736173566,150.0
222,15,-0.05883760654056943,,,,2.080000000000002,5,3,149.86374160639946,150.0
223,15,-0.15155197451700103,,,,1.5,5,3,149.56146612987493,150.0
224,15,-0.034856167810136604,,,,1.2199999999999989,5,3,149.63959241082733,150.0
225,15,-0.04293045438330392,,,,1.3099999999999952,5,3,149.88187341405975,150.0
226,15,0.11798513582450539,,,,1.3299999999999983,5,3,149.68998150112176,150.0
227,15,0.07400665855713999,,,,1.9200000000000017,5,3,149.99340870283567,150.0
228,15,-0.01226973106862168,,,,5.140000000000001,5,1,149.12072356294445,150.0
229,15,-0.027472879575789914,,,,2.9800000000000004,5,1,149.6504890523829,150.0
230,15,-0.056185729499766614,,,,1.950000000000001,5,1,149.79487727625892,150.0
231,15,-0.1955097409776159,,,,1.6000000000000014,5,1,149.85983182352268,150.0
232,15,-0.0163432410618446,,,,1.4200000000000017,5,1,149.82298776262166,150.0
233,15,-0.038061160377018864,,,,1.3299999999999983,5,1,149.72474255220277,150.0
234,15,-0.08810529643329723,,,,1.9000000000000021,5,1,149.8231426553508,150.0
235,15,-0.06049287136521699,,,,1.4100000000000001,5,1,149.85403802428786,150.0
236,15,-0.042275362791370494,,,,0.740000000000002,5,1,147.38037853810016,150.0
237,15,0.04713274210949005,,,,1.9499999999999957,5,1,149.737402549669,150.0
238,15,-0.9487313873465845,,,,1.8200000000000003,5,1,149.8241569195567,150.0
239,15,-0.0383043588659955,,,,1.4500000000000028,5,1,149.59003697754295,150.0
240,15,-0.05552249379075282,,,,1.3900000000000006,5,1,149.8080670158717,150.0
241,15,0.024781301528514158,,,,1.7100000000000009,5,1,149.78184281606832,150.0
242,15,-0.3078819363656014,,,,1.8499999999999943,5,1,149.63968719901294,150.0
243,15,-0.02697146175741916,,,,1.5500000000000043,5,1,149.59607801934774,150.0
244,15,0.010852252221494729,,,,0.9199999999999999,4,5,150.20203408859584,150.0
245,15,0.11818534016136262,,,,0.6600000000000001,4,5,151.75782588408964,150.0
246,15,0.1273816819709792,,,,0.5,4,5,141.04471596223937,150.0
247,15,0.17986569222097173,,,,0.5099999999999998,4,5,142.68567159777623,150.0
248,15,0.04543865066925375,,,,0.7100000000000009,4,5,149.3838166729995,150.0
249,15,0.04391404829175297,,,,0.7599999999999998,4,5,150.14627855557282,150.0
